['5347743', '6689426', '6840624'] #GCS: 0.0405058620768
['6689426', '6769405', '6780393'] #GCS: 0.0861158921048
['6243535', '6689426', '6769405'] #GCS: 0.0546844057085
['5805376', '6689426', '6769405'] #GCS: 0.070852311411
['5347743', '5997493', '6866291'] #GCS: 0.0549235181335
['5347743', '5997493', '6918901'] #GCS: 0.0399162551935
['5997493', '6220775', '6243535'] #GCS: 0.0645023730687
['5997493', '6243535', '6846862'] #GCS: 0.0387012437647
['5347743', '5997493', '6846862'] #GCS: 0.0296362143329
['5347743', '5997493', '6243535'] #GCS: 0.0469840478339
['5997493', '6243535', '6840624'] #GCS: 0.0585064982863
['5347743', '5997493', '6840624'] #GCS: 0.0613879590654
['5750745', '6872438', '6924047'] #GCS: 0.222850418493
['6697415', '6915778', '6924047'] #GCS: 0.0231370967954
['6403007', '6915778', '6924047'] #GCS: 0.035638215026
['6243535', '6697415', '6924047'] #GCS: 0.0453525010285
['6769405', '6916394', '6924047'] #GCS: 0.0744037691711
['6757552', '6916394', '6924047'] #GCS: 0.0532419353846
['6866291', '6917899', '6924047'] #GCS: 0.0377069812246
['6243535', '6866291', '6924047'] #GCS: 0.0698484746046
['5687589', '6697415', '6780393'] #GCS: 0.103272234277
['5347743', '5687589', '6918901'] #GCS: 0.0268939070453
['6243535', '6800944', '6917899'] #GCS: 0.0350911320777
['6243535', '6800944', '6846862'] #GCS: 0.0602929612844
['6757552', '6780393', '6800944'] #GCS: 0.0337177369008
['6243535', '6757552', '6800944'] #GCS: 0.0848724993028
['6780393', '6800944', '6866291'] #GCS: 0.0711161164286
['6243535', '6800944', '6866291'] #GCS: 0.0796712735837
['6769405', '6780393', '6800944'] #GCS: 0.0380549003182
['6243535', '6769405', '6800944'] #GCS: 0.0528979363596
['6697415', '6769405', '6800944'] #GCS: 0.039192626026
['6243535', '6780393', '6800944'] #GCS: 0.0570675305577
['6697415', '6800944', '6872438'] #GCS: 0.0410988634469
['6243535', '6697415', '6800944'] #GCS: 0.0461434295395
['6220775', '6780393', '6918901'] #GCS: 0.038497496975
['5750745', '6220775', '6757552'] #GCS: 0.0239060080444
['5347743', '6220775', '6769405'] #GCS: 0.0361490657544
