['5347743', '5750745', '6872438'] #GCS: 0.213253611273
['5750745', '5805376', '6780393'] #GCS: 0.278432012224
['5750745', '5805376', '6872438'] #GCS: 0.311734469346
['5750745', '5805376', '6866291'] #GCS: 0.236285655959
['5750745', '5805376', '6780393', '6866291'] #GCS: 0.222923245682
['5750745', '6243535', '6866291'] #GCS: 0.185215658725
['5750745', '6403007', '6866291'] #GCS: 0.28221578455
['5750745', '6780393', '6866291'] #GCS: 0.212085175947
['5805376', '6866291', '6917899'] #GCS: 0.195976212759
['5318403', '5805376', '6872438'] #GCS: 0.316254934416
['5805376', '6403007', '6840624'] #GCS: 0.145783275503
['5318403', '5805376', '6403007'] #GCS: 0.45520411912
['5805376', '6403007', '6872438'] #GCS: 0.281064349668
['5805376', '6403007', '6780393'] #GCS: 0.320878245063
['5805376', '6243535', '6840624'] #GCS: 0.258939634417
['5318403', '5805376', '6840624'] #GCS: 0.22770117901
['5347743', '5805376', '6840624'] #GCS: 0.248377270916
['5805376', '6840624', '6872438'] #GCS: 0.233915382906
['5347743', '5805376', '6243535'] #GCS: 0.387489908493
['5347743', '5805376', '6872438'] #GCS: 0.355125466952
['5805376', '6866291', '6872438'] #GCS: 0.312166970135
['5347743', '5805376', '6866291'] #GCS: 0.32628448344
['5805376', '6243535', '6866291'] #GCS: 0.329468274643
['5805376', '6780393', '6866291'] #GCS: 0.275222359383
['5805376', '6243535', '6872438'] #GCS: 0.261954929568
['5203100', '6697415', '6917899'] #GCS: 0.378588038417
['5203100', '6697415', '6866291'] #GCS: 0.367023276431
['5203100', '6866291', '6917899'] #GCS: 0.34097333571
['6403007', '6780393', '6846862'] #GCS: 0.283452136787
['6846862', '6866291', '6917899'] #GCS: 0.284895133458
['6846862', '6872438', '6917899'] #GCS: 0.348127310173
['5347743', '6846862', '6917899'] #GCS: 0.27703743133
['6243535', '6840624', '6846862'] #GCS: 0.270630232554
['5347743', '6840624', '6846862'] #GCS: 0.318029267605
['5347743', '6846862', '6866291'] #GCS: 0.324230424957
['6243535', '6846862', '6866291'] #GCS: 0.287810380876
['6243535', '6846862', '6872438'] #GCS: 0.342031756965
['6697415', '6866291', '6872438'] #GCS: 0.292008570273
['6243535', '6697415', '6866291'] #GCS: 0.357469104588
['5347743', '6697415', '6866291'] #GCS: 0.379848541211
['6697415', '6872438', '6917899'] #GCS: 0.349028373307
['6243535', '6697415', '6917899'] #GCS: 0.363707596757
['6697415', '6840624', '6917899'] #GCS: 0.200572994513
['6697415', '6866291', '6917899'] #GCS: 0.382523508035
['5347743', '6243535', '6917899'] #GCS: 0.272940007387
['6866291', '6872438', '6917899'] #GCS: 0.370934000379
['5347743', '6866291', '6917899'] #GCS: 0.31598293238
['6243535', '6866291', '6917899'] #GCS: 0.416763423835
['6243535', '6840624', '6917899'] #GCS: 0.221344034704
